hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Discount,Cost
"Resort Hotel",1,85,2018,July,27,1,0,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,82,0,1,Canceled,06/05/2018,0.3,12.99
"Resort Hotel",1,75,2018,July,27,1,0,3,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,105.5,0,0,Canceled,22/04/2018,0.3,17.99
"Resort Hotel",1,23,2018,July,27,1,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,23/06/2018,0.3,12.99
"Resort Hotel",1,60,2018,July,27,1,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,107,0,2,Canceled,11/05/2018,0.3,12.99
"Resort Hotel",1,96,2018,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,"No Deposit",NULL,NULL,0,Transient,108.3,0,2,Canceled,29/05/2018,0.1,12.99
"Resort Hotel",1,45,2018,July,27,2,1,3,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",241,NULL,0,Transient,108.8,0,1,Canceled,19/05/2018,0.3,12.99
"Resort Hotel",1,40,2018,July,27,2,1,3,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",241,NULL,0,Transient,108.8,0,1,Canceled,19/06/2018,0.3,12.99
"Resort Hotel",1,43,2018,July,27,2,1,3,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",241,NULL,0,Transient,108.8,0,0,Canceled,23/05/2018,0.3,12.99
"Resort Hotel",1,45,2018,July,27,2,2,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",241,NULL,0,Transient,117.81,0,0,Canceled,18/05/2018,0.3,12.99
"Resort Hotel",1,47,2018,July,27,2,2,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,153,0,0,Canceled,02/06/2018,0.3,12.99
"Resort Hotel",1,3,2018,July,27,2,0,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,136.33,0,2,Canceled,29/06/2018,0.3,17.99
"Resort Hotel",1,71,2018,July,27,3,0,2,3,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,110.3,0,2,Canceled,16/06/2018,0.3,12.99
"Resort Hotel",1,63,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,82,0,2,Canceled,18/06/2018,0.3,12.99
"Resort Hotel",1,62,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,97,0,1,Canceled,03/07/2018,0.3,12.99
"Resort Hotel",1,101,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,12/06/2018,0.3,12.99
"Resort Hotel",1,51,2018,July,27,3,0,2,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,110.3,0,0,Canceled,09/06/2018,0.3,12.99
"Resort Hotel",1,48,2018,July,27,3,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,26/05/2018,0.3,12.99
"Resort Hotel",1,368,2018,July,27,3,3,7,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",40,NULL,0,Contract,55.68,0,0,Canceled,19/05/2018,0.3,12.99
"Resort Hotel",1,81,2018,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,"No Deposit",250,NULL,0,Transient,124,0,1,Canceled,09/06/2018,0.1,17.99
"Resort Hotel",1,79,2018,July,27,3,6,15,2,1,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,108.73,0,2,Canceled,15/04/2018,0.3,12.99
"Resort Hotel",1,109,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,123,0,1,Canceled,26/05/2018,0.3,12.99
"Resort Hotel",1,72,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,29/06/2018,0.3,12.99
"Resort Hotel",1,63,2018,July,27,3,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,F,F,0,"No Deposit",242,NULL,0,Transient,117,0,1,Canceled,13/05/2018,0.3,12.99
"Resort Hotel",1,26,2018,July,27,4,2,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,163,0,0,Canceled,09/06/2018,0.3,12.99
"Resort Hotel",1,73,2018,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,"No Deposit",250,NULL,0,Transient,172,0,1,Canceled,20/05/2018,0.1,17.99
"Resort Hotel",1,102,2018,July,27,4,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,110.7,0,1,Canceled,22/04/2018,0.3,12.99
"Resort Hotel",1,101,2018,July,27,4,2,6,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,96.3,0,1,Canceled,12/05/2018,0.3,12.99
"Resort Hotel",1,51,2018,July,27,4,0,1,1,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,105,0,0,Canceled,29/05/2018,0.3,17.99
"Resort Hotel",1,73,2018,July,27,4,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,2,Canceled,13/05/2018,0.3,12.99
"Resort Hotel",1,33,2018,July,27,4,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,113,0,0,Canceled,16/06/2018,0.3,12.99
"Resort Hotel",1,5,2018,July,28,5,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,97,0,0,Canceled,01/07/2018,0.3,12.99
"Resort Hotel",1,34,2018,July,28,5,2,4,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,163,0,0,Canceled,17/06/2018,0.3,12.99
"Resort Hotel",1,93,2018,July,28,5,2,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,105.5,0,0,Canceled,01/05/2018,0.3,17.99
"Resort Hotel",1,101,2018,July,28,5,2,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,114,0,1,Canceled,30/03/2018,0.3,17.99
"Resort Hotel",1,48,2018,July,28,6,1,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,167,0,0,Canceled,03/06/2018,0.3,17.99
"Resort Hotel",1,86,2018,July,28,6,2,5,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",175,NULL,0,Transient,71,0,1,Canceled,26/06/2018,0.3,17.99
"Resort Hotel",1,94,2018,July,28,6,3,7,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,87.3,0,0,Canceled,14/05/2018,0.3,12.99
"Resort Hotel",1,67,2018,July,28,7,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,07/05/2018,0.3,12.99
"Resort Hotel",1,43,2018,July,28,7,0,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",134,NULL,0,Transient,91.5,0,0,Canceled,28/05/2018,0.3,17.99
"Resort Hotel",1,88,2018,July,28,7,2,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,139,0,2,Canceled,13/04/2018,0.3,17.99
